price,bedrooms,bathrooms,sq ft
749900,5,5,4695
825000,4,5,5232
692656,4,4,3194
920000,6,5,5571
309000,4,2,2068
595000,5,4,3988
439000,4,3,3395
475000,4,3,2964
775000,7,4,5299
765000,5,5,3538
459950,5,3,2781
597500,5,3,4174
529000,5,4,4130
799000,4,4,4450
640225,4,3,4449
498000,4,4,3377
668490,4,3,3493
678490,4,4,3968
315000,3,3,2744
492500,3,3,3108
667000,3,3,4385
300000,3,2,1984
355000,3,2,2160
314900,3,2,1321
640490,3,2,2759
379000,3,3,2116
667000,3,3,4385
559000,3,3,4000
390000,3,2,1789
315000,3,3,2744
362900,3,2,1287
525000,3,2,2053
384900,3,3,1988
489000,3,3,3108
